[2025-05-19T15:17:08.950+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 34
[2025-05-19T15:17:09.430+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:09.430+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 35
[2025-05-19T15:17:09.900+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:09.900+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 36
[2025-05-19T15:17:10.363+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:10.363+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 37
[2025-05-19T15:17:10.838+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:10.838+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 38
[2025-05-19T15:17:11.299+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:11.302+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 39
[2025-05-19T15:17:11.796+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:11.797+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 40
[2025-05-19T15:17:12.265+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:12.265+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 41
[2025-05-19T15:17:12.728+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:12.728+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 42
[2025-05-19T15:17:13.230+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:17:13.230+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 43
[2025-05-19T15:17:13.701+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
